Type,Id,StartTime,EndTime,Label
BreathCal,500,2013-07-02 06:29:59,2013-07-02 06:30:37,
BreathCal,1000,2013-07-02 06:30:49,2013-07-02 06:31:38,
BreathCal,1500,2013-07-02 06:31:47,2013-07-02 06:32:41,
BreathCal,2000,2013-07-02 06:32:55,2013-07-02 06:34:15,
BreathCal,500,2013-07-02 06:34:30,2013-07-02 06:34:55,
PreRide_Tabor,1,2013-07-02 06:15:23,2013-07-02 06:45:37,At Tabor
Run,1,2013-07-02 06:45:38,2013-07-02 07:10:01,Bikways
Run,2,2013-07-02 07:16:37,2013-07-02 07:40:52,Powell
Run,3,2013-07-02 07:46:46,2013-07-02 08:19:14,Powell
Run,4,2013-07-02 08:27:11,2013-07-02 08:52:38,Bikways
AfterRide,1,2013-07-02 08:52:39,2013-07-02 09:04:35,At Tabor
PostRide_Tabor,1,2013-07-02 09:04:36,2013-07-02 09:12:12,PostRide_Bikeways
BreathCal,500,2013-07-02 08:56:56,2013-07-02 08:57:37,
BreathCal,1000,2013-07-02 08:57:49,2013-07-02 08:58:49,
BreathCal,1500,2013-07-02 08:59:01,2013-07-02 08:59:53,
BreathCal,2000,2013-07-02 09:00:11,2013-07-02 09:01:05,
BreathCal,500,2013-07-02 10:14:49,2013-07-02 10:15:26,
BreathCal,1000,2013-07-02 10:15:35,2013-07-02 10:16:26,
BreathCal,1500,2013-07-02 10:16:32,2013-07-02 10:17:20,
BreathCal,2000,2013-07-02 10:17:27,2013-07-02 10:18:23,

